ID,Content
1,
2,AIC1001
3,AIC1001假指示低
4,AIC1001假指示高
5,AV2001故障导致开度小
6,AV2001故障限位
7,FICA1013低报警     
8,PDI1003
9,PDI1003   
10,PI1012A
11,PI1012C
12,PI1012C  
13,PIA10048
14,PIA1005
15,PIA1005低报警
16,PICA1006低报警
17,PICA1006低报警 
18,PV1004A故障导致开度小或关
19,PV1006故障导致开度小或关
20,TI1006
21,TI1014
22,TI1014   
23,TI1030C
24,TI1042
25,TI1045
26,TI1402
27,TIA1020
28,TIA1020高报警
29,TIA1020高报警     
30,TIC1005
31,TIC1005  
32,TIC1015
33,TIC1015  
34,TIC1015    
35,TICA10258高报警
36,TICA10258高报警       
37,TV1041故障导致开度过大
38,lable1
39,lable2
40,to
41,Ⅰ
42,Ⅱ
43,Ⅲ
44,严重时反应器飞温
45,严重时炉管烧穿
46,严重时装置停工
47,严重时装置停车
48,中间事件
49,保护措施
50,偏差
51,加剧空气预热器低温腐蚀
52,加氢进料温度降低
53,加热炉F-9101温度降低
54,加热炉停炉
55,加热炉停车
56,加热炉出口温度升高
57,加热炉完全不燃烧
58,加热炉效率下降
59,加热炉燃料气流量降低
60,加热炉燃烧不充分
61,加热炉燃烧状态不好
62,加热炉空气流量过低
63,加热炉空气流量过高
64,加热炉负荷增大
65,压力
66,原因
67,原料油进料温度低
68,参数
69,反应器进料温度低
70,反应器进料温度降低
71,反应器飞温
72,反应流出物/混合进料换热器E-9101/A-D换热效果差
73,反应流出物/混合进料换热器壳程出口温度降低
74,反应系统操作波动
75,反应进料加热炉F-9101压力过高
76,反应进料加热炉出口温度低
77,反应进料加热炉出口温度高
78,反应进料加热炉出口温度高高联锁
79,反应进料加热炉空气预热器换热效果差
80,反应进料加热炉负荷增大
81,可能发生炉膛闪爆
82,可能造成炉管氧腐蚀
83,可能造成炉管结焦
84,可能造成炉膛正压冒火伤人
85,后果
86,增设PCV1001副线及前后手阀和导淋
87,备用阻火器 TIA1020
88,建议增设炉内可燃气在线分析
89,建议增设阻火器导淋阀
90,建议措施
91,开/停工
92,引风机入口调节挡板故障限位
93,引风机故障
94,引风机故障联锁
95,影响产品质量
96,流量
97,液位升高
98,混合进料流量过低
99,混氢油流量过高
100,混氢油漏向反应产物
101,温度
102,火嘴燃烧效果差
103,火焰检测器
104,炉出口温度升高
105,炉管温度升高
106,炉管烧穿
107,炉管结焦
108,炉膛内可燃性气体分析
109,炉膛内存在瓦斯，与空气混合达到爆炸极限
110,炉膛温度降低
111,炉膛负压下降
112,烟气含氧量过高
113,燃料气压力过低
114,燃料气带液严重
115,燃料气流量过低
116,燃料气流量过高
117,燃料气管网压力低低联锁
118,燃料气管网压力过低
119,燃料气管网压力过高
120,燃料气组分变重
121,燃料气采样器SA-9303
122,燃烧情况不好
123,电气阀门定位器
124,空气入炉温度降低，影响产品质量
125,节点
126,节点2：反应进料经反应流出物/反应进料换热器、反应进料加热炉至反应器入口管线部分
127,装置停工
128,进料加热炉出口温度降低
129,造成炉管氧腐蚀
130,长明灯熄灭
131,防爆门
132,阻火器堵塞
133,风险等级
134,高压分离器V2002进料温度下降
135,高压换热器内漏
136,高报警反应进料加热炉出口温度高高联锁
137,鼓风机故障停
138,鼓风机故障联锁
139,﻿from
